what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1322986090118
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1322986090338
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1322986090580
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1322986090745
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1322986091130
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1322986092477
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986095372
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986109685
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986110941
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986112733
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322986138688
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986150984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986154898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986156491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986157583
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986195760
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986196714
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1322986202414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986202440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986203275
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986206595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1322986233970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1322986234251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322986237115
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986238033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986239733
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986240840
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986242150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986248945
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986251803
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986255533
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322986256223
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986268908
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986269048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322986274179
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986279113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986280452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986284908
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1322986288110
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1322986288428
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986293721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986298653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986300597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986301237
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986321037
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986321684
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322986323997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986326231
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1322986330411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986330423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986331853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986334781
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1322986335555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986335570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986336508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986339345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986340532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986341932
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986346531
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986375987
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1322986387513
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986387606
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986388333
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986389063
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986390479
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986391039
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986391291
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986391658
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986391957
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986392215
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986392408
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986392700
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986393081
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986393349
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986393900
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986394127
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986394479
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986395106
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986395336
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986395680
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986395984
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986396238
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986396585
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986396904
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986397109
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1322986397422
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986405791
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986406640
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986420018
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986421938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322986424304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986425207
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1322986430494
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986439240
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1322986453379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1322986454234
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986463391
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1322986463766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322986464050
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322986464773
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986473929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986475531
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1322986481185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986481204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986482054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322986489934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986491044
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986493512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322986497011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986497853
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986499748
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986505083
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986507504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986514654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986516445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986517130
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986517287
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986556621
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986558684
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322986560554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986562306
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986565112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1322986570306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986572697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986575970
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986579039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986579822
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986581587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986583022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986651416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986659014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986686381
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322986714990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322986718880
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322986719040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322986720967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1322986721150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322986722092
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322986728422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986759020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986785422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986819622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986823673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986824198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986824668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986878424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986879065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986879769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986903471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986909301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986922957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986925246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986927134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986940381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986944798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986957659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322986986542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987004618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987088886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987093577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987128895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987132332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987133479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987142260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987143110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987144257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987155125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987158121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987164316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987166059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987192789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987194161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987194966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987198457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987199531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987202287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987324804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987326017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987476097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987535166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987536477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987537325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987538304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987544358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987549937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987551844
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987603847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987604869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987607289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987608234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987609571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987609889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987611380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987612282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987613280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987613733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987614539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987615838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987617249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987618545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987620288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987647803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987648706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987654486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987784482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987785531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987796429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987838699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322987864734
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322987870409
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322987870606
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322987886038
